time_on,lux_on,time_off,lux_off
0.000,39.57,0.000,31.28
0.100,40.14,0.100,30.95
0.200,40.00,0.200,31.29
0.300,39.98,0.300,31.45
0.400,40.01,0.400,31.45
0.500,39.94,0.500,31.34
0.600,39.77,0.600,31.82
0.700,40.61,0.700,31.08
0.800,39.89,0.800,31.40
0.900,39.94,0.900,31.41
1.000,40.00,1.000,31.39
1.100,40.06,1.100,31.40
1.200,39.87,1.200,31.34
1.300,40.08,1.300,31.52
1.400,39.97,1.400,31.25
1.500,40.07,1.500,31.53
1.600,39.98,1.600,31.61
1.700,39.95,1.700,31.47
1.800,40.39,1.800,31.27
1.900,40.08,1.900,31.31
2.000,39.90,2.000,31.74
2.100,39.93,2.100,31.32
2.200,39.92,2.200,31.40
2.300,39.98,2.300,31.34
2.400,29.85,2.400,19.96
2.500,19.41,2.500,10.27
2.600,14.27,2.600,6.43
2.700,11.87,2.700,5.06
2.800,10.78,2.800,4.39
2.900,10.47,2.900,4.21
3.000,10.21,3.000,4.10
3.100,9.84,3.100,4.10
3.200,9.98,3.200,3.99
3.300,9.97,3.300,4.04
3.400,9.97,3.400,3.96
3.500,9.99,3.500,4.06
3.600,10.01,3.600,4.02
3.700,10.10,3.700,4.06
3.800,9.98,3.800,4.02
3.900,9.88,3.900,4.06
4.000,9.97,4.000,4.04
4.100,9.92,4.100,4.09
4.200,9.98,4.200,4.01
4.300,9.95,4.300,4.16
4.400,10.04,4.400,4.01
4.500,9.95,4.500,4.08
4.600,10.09,4.600,4.04
4.700,10.00,4.700,4.03
4.800,9.96,4.800,4.09
4.900,9.96,4.900,4.02
5.000,10.15,5.000,4.16
5.100,9.97,5.100,4.05
5.200,9.84,5.200,4.01
5.300,10.00,5.300,4.09
5.400,10.04,5.400,4.13
5.500,10.23,5.500,4.13
5.600,9.99,5.600,4.08
5.700,10.02,5.700,4.14
5.800,9.93,5.800,4.09
5.900,9.92,5.900,4.05
6.000,10.01,6.000,4.14
6.100,10.06,6.100,4.11
6.200,9.95,6.200,4.06
6.300,9.99,6.300,3.99
6.400,10.05,6.400,4.00
6.500,10.25,6.500,4.16
6.600,9.91,6.600,4.10
6.700,10.01,6.700,4.17
6.800,9.98,6.800,4.14
6.900,10.00,6.900,4.16
7.000,10.01,7.000,4.07
7.100,9.97,7.100,4.11
7.200,9.92,7.200,4.09
7.300,10.01,7.300,4.10
7.400,9.89,7.400,4.01
7.500,10.09,7.500,4.14
7.600,10.12,7.600,4.14
7.700,10.00,7.700,4.14
7.800,9.90,7.800,4.08
7.900,9.96,7.900,4.17
8.000,10.05,8.000,4.07
8.100,10.07,8.100,4.02
8.200,10.01,8.200,4.17
8.300,9.99,8.300,4.16
8.400,16.01,8.400,9.68
8.500,28.60,8.500,19.88
8.600,36.17,8.600,26.01
8.700,38.97,8.700,28.49
8.800,40.00,8.800,29.77
8.900,40.17,8.900,30.60
9.000,40.26,9.000,30.75
9.100,40.03,9.100,31.15
9.200,40.07,9.200,30.73
9.300,40.10,9.300,31.28
9.400,40.19,9.400,31.37
9.500,40.10,9.500,31.08
9.600,39.86,9.600,31.22
9.700,40.01,9.700,31.29
9.800,40.05,9.799,31.42
9.900,39.78,9.899,31.29
10.000,40.02,10.000,31.49
10.100,39.97,10.099,31.64
10.200,40.15,10.199,31.21
10.300,39.95,10.299,31.37
10.400,40.12,10.399,31.43
10.500,39.95,10.499,31.56
10.600,40.22,10.599,31.55
10.700,39.96,10.699,31.56
10.800,40.04,10.799,31.39
10.900,39.74,10.899,31.31
11.000,39.90,10.999,31.42
11.100,40.05,11.099,31.39
11.200,39.90,11.199,31.50
11.300,39.90,11.299,31.64
11.400,40.14,11.399,31.44
11.500,39.91,11.499,31.50
11.600,40.03,11.599,31.42
11.700,39.57,11.699,31.62
11.800,39.83,11.799,31.37
11.900,39.93,11.899,31.56
12.000,40.13,11.999,31.38
12.100,40.19,12.099,31.51
12.200,39.93,12.199,31.59
12.300,39.94,12.299,31.99
12.400,39.89,12.399,31.53
12.500,40.11,12.499,31.51
12.600,40.02,12.599,31.95
12.700,40.05,12.699,31.88
12.800,39.94,12.799,31.50
12.900,40.10,12.899,31.51
13.000,40.03,12.999,31.92
13.100,40.24,13.099,31.38
13.200,39.54,13.199,31.46
13.300,39.97,13.299,31.52
13.400,40.06,13.399,31.58
13.500,40.17,13.499,31.36
13.600,40.17,13.599,31.62
13.700,40.03,13.699,31.51
13.800,40.15,13.799,31.46
13.900,39.92,13.899,31.49
14.000,40.14,13.999,31.29
14.100,40.19,14.099,31.44
14.200,40.09,14.199,31.40
14.300,40.15,14.299,31.51
