time_s,lux,duty
0.000,40.11,0.5843
0.050,40.05,0.5817
0.100,40.02,0.5843
0.150,40.20,0.5853
0.200,40.07,0.5847
0.250,39.94,0.5833
0.300,40.01,0.5841
0.350,40.27,0.5851
0.400,40.00,0.5920
0.450,39.92,0.5851
0.500,40.00,0.5905
0.550,40.11,0.5858
0.600,40.01,0.5837
0.650,39.91,0.5833
0.700,39.35,0.5849
0.750,39.98,0.5852
0.800,39.47,0.5832
0.850,39.93,0.5825
0.900,40.11,0.5844
0.950,40.11,0.5853
1.000,39.96,0.5851
1.050,39.94,0.5866
1.100,40.15,0.5848
1.150,40.22,0.5848
1.200,40.04,0.5841
1.250,39.95,0.5844
1.300,39.97,0.5852
1.350,39.86,0.5847
1.400,40.07,0.5833
1.450,40.01,0.5850
1.500,40.07,0.5908
1.550,40.00,0.5851
1.600,39.94,0.5873
1.650,40.01,0.5844
1.700,40.21,0.5850
1.750,40.02,0.5902
1.800,39.47,0.5831
1.850,40.02,0.5902
1.900,39.83,0.5876
1.950,40.12,0.5874
2.000,40.02,0.5863
2.050,39.51,0.5858
2.100,40.21,0.5835
2.150,39.59,0.5841
2.200,39.87,0.5852
2.250,39.92,0.5862
2.300,40.03,0.5836
2.350,40.06,0.4199
2.400,40.29,0.3296
2.450,40.18,0.2822
2.500,40.06,0.2604
2.550,39.94,0.2500
2.600,40.17,0.2414
2.650,36.98,0.2392
2.700,29.72,0.2369
2.750,23.97,0.2349
2.800,19.39,0.2348
2.850,16.15,0.2327
2.900,14.21,0.2347
2.950,12.65,0.2337
3.000,11.68,0.2324
3.050,11.13,0.2328
3.100,10.66,0.2331
3.150,10.53,0.2325
3.200,10.16,0.2331
3.250,10.15,0.2324
3.300,10.15,0.2333
3.350,10.07,0.2332
3.400,10.03,0.2337
3.450,10.07,0.2338
3.500,10.01,0.2338
3.550,10.08,0.2341
3.600,10.01,0.2347
3.650,10.00,0.2327
3.700,9.98,0.2340
3.750,9.96,0.2338
3.800,9.96,0.2327
3.850,9.90,0.2330
3.900,9.85,0.2328
3.950,10.04,0.2346
4.000,9.94,0.2336
4.050,9.96,0.2316
4.100,10.05,0.2325
4.150,10.02,0.2332
4.200,10.01,0.2332
4.250,9.87,0.2317
4.300,9.94,0.2322
4.350,10.08,0.2330
4.400,9.98,0.2315
4.450,9.93,0.2323
4.500,9.94,0.2323
4.550,10.08,0.2323
4.600,10.03,0.2321
4.650,9.94,0.2318
4.700,10.09,0.2322
4.750,10.04,0.2318
4.800,10.02,0.2319
4.850,10.01,0.2311
4.900,10.03,0.2324
4.950,10.07,0.2314
5.000,10.04,0.2313
5.050,10.06,0.2317
5.100,10.06,0.2315
5.150,10.09,0.2301
5.200,9.97,0.2287
5.250,10.06,0.2310
5.300,10.04,0.2321
5.350,10.03,0.2314
5.400,10.03,0.2313
5.450,10.16,0.2312
5.500,10.28,0.2316
5.550,10.05,0.2321
5.600,9.95,0.2297
5.650,9.98,0.2313
5.700,10.01,0.2317
5.750,10.03,0.2325
5.800,10.00,0.2327
5.850,9.98,0.2315
5.900,10.20,0.2313
5.950,10.03,0.2320
6.000,9.99,0.2305
6.050,9.92,0.2335
6.100,9.92,0.2316
6.150,10.07,0.2310
6.200,10.05,0.2315
6.250,9.97,0.2324
6.300,10.11,0.2312
6.350,9.83,0.2315
