alg,node,lux,duty,ref,energy,vis,flicker
PI Only,1,20.089,0.504029304029304,20.0,45.974,8.929,0.0
PI Only,2,19.982,0.17753357753357754,20.0,18.022,8.919,0.0
PI Only,3,20.0,0.2,20.0,20.95,8.859,0.0
Consensus,1,19.953,0.5174603174603175,20.0,131.191,4.433,0.0
Consensus,2,19.983,0.17973137973137973,19.994,47.962,4.669,0.0
Consensus,3,19.986,0.20073260073260074,19.999,54.383,4.852,0.0
ADMM,1,19.978,0.5172161172161173,20.0,217.358,2.953,0.0
ADMM,2,20.001,0.1811965811965812,20.0,78.071,3.164,0.0
ADMM,3,19.997,0.20122100122100123,20.0,87.924,3.341,0.0
Dual Decomp,1,19.992,0.5194139194139195,20.0,304.321,2.216,0.0
Dual Decomp,2,20.039,0.18168498168498168,20.0,108.257,2.394,0.0
Dual Decomp,3,19.998,0.20170940170940171,20.0,121.51,2.548,0.0
