t,node,lux,duty,ref
0,1,5.021,0.21318681318681318,5
9028,2,4.981,0.07179487179487179,5
18055,3,4.986,0.06227106227106227,5
27078,1,4.972,0.21123321123321123,5
36103,2,4.999,0.07155067155067155,5
45127,3,4.992,0.06227106227106227,5
54143,1,4.991,0.21172161172161172,5
63162,2,5.016,0.07179487179487179,5
72176,3,4.99,0.06202686202686203,5
81192,1,5.066,0.21294261294261294,5
90222,2,4.979,0.0713064713064713,5
99247,3,5.003,0.06202686202686203,5
108273,1,4.962,0.2126984126984127,5
117292,2,4.996,0.07106227106227106,5
126310,3,5.005,0.06202686202686203,5
139845,1,25.031,0.7670329670329671,25.0
148867,2,4.971,0.013675213675213675,5.0
157890,3,5.004,0.0485958485958486,5.0
166918,1,24.963,0.7731379731379732,25.0
175937,2,5.024,0.013431013431013432,5.0
184962,3,5.005,0.0485958485958486,5.0
193983,1,25.029,0.7746031746031746,25.0
203000,2,4.977,0.013431013431013432,5.0
212026,3,4.993,0.04835164835164835,5.0
221053,1,24.948,0.7750915750915751,25.0
230073,2,4.977,0.012942612942612943,5.0
239100,3,4.99,0.04835164835164835,5.0
248126,1,24.976,0.778021978021978,25.0
257148,2,4.988,0.012698412698412698,5.0
266175,3,4.999,0.04835164835164835,5.0
275196,1,24.97,0.7782661782661783,25.0
284210,2,4.991,0.012454212454212455,5.0
293221,3,4.997,0.04835164835164835,5.0
302245,1,24.974,0.7785103785103785,25.0
311272,2,5.012,0.012454212454212455,5.0
320289,3,5.001,0.04810744810744811,5.0
329312,1,25.087,0.7804639804639805,25.0
338348,2,4.986,0.01221001221001221,5.0
347393,3,5.002,0.04810744810744811,5.0
356433,1,24.96,0.778021978021978,25.0
365466,2,5.013,0.011721611721611722,5.0
374521,3,5.009,0.04835164835164835,5.0
383559,1,25.032,0.7811965811965812,25.0
392596,2,5.016,0.01221001221001221,5.0
401645,3,5.001,0.04835164835164835,5.0
